pair_id,time,final_mod_type,clean_mod_type,broad_category,filename_ori,filename_mod,delta_mean,delta_std,delta_median,delta_max,delta_l2,delta_p90,delta_p95,active_dims_q75_global,stable_core_mean_delta,volatile_shell_mean_delta,stable_to_volatile_ratio
3,3,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_3s.wav,pair_3_comp_242s.wav,1.339965,0.987752,1.151170,6.399148,53.269768,2.711967,3.191126,471,1.157324,1.632373,0.708983
3,3,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_3s.wav,pair_3_comp_246s.wav,1.348344,1.006950,1.150974,5.898163,53.851166,2.736755,3.305340,467,1.132455,1.770299,0.639697
3,3,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_3s.wav,pair_3_comp_250s.wav,1.352820,1.011740,1.174310,5.974632,54.057652,2.699963,3.163318,486,1.142873,1.695654,0.674001
3,3,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_3s.wav,pair_3_comp_254s.wav,1.357845,1.035604,1.156525,6.249140,54.646202,2.799156,3.317689,481,1.194525,1.669347,0.715564
3,3,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_3s.wav,pair_3_comp_259s.wav,1.445154,1.093563,1.203103,6.262545,57.992882,3.043046,3.583603,499,1.180846,1.736391,0.680058
3,3,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_3s.wav,pair_3_comp_263s.wav,1.399529,1.096740,1.156320,5.706897,56.898109,2.967614,3.551903,481,1.174226,1.605877,0.731206
3,7,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_7s.wav,pair_3_comp_176s.wav,1.264017,0.965607,1.038446,5.025263,50.900486,2.582034,3.173790,429,0.940965,1.516547,0.620466
3,7,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_7s.wav,pair_3_comp_179s.wav,1.309138,0.993733,1.075322,5.026011,52.594498,2.758962,3.231555,445,0.984827,1.646215,0.598237
3,7,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_7s.wav,pair_3_comp_183s.wav,1.296626,0.981861,1.077413,4.999347,52.045914,2.740246,3.094050,458,0.985107,1.552981,0.634333
3,7,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_7s.wav,pair_3_comp_188s.wav,1.304765,1.004719,1.056235,5.117592,52.696846,2.726655,3.244490,440,0.984650,1.580315,0.623072
3,7,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_7s.wav,pair_3_comp_234s.wav,1.385726,1.006278,1.204243,6.168802,54.801640,2.712402,3.306203,497,1.168063,1.839693,0.634923
3,7,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_7s.wav,pair_3_comp_238s.wav,1.364693,1.001756,1.184886,6.225257,54.172726,2.741243,3.273835,492,1.164432,1.828247,0.636912
3,7,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_7s.wav,pair_3_comp_242s.wav,1.363919,1.003247,1.228629,6.287178,54.181026,2.710036,3.308510,502,1.148285,1.717460,0.668595
3,7,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_7s.wav,pair_3_comp_246s.wav,1.364745,1.024587,1.184068,5.932985,54.609543,2.814169,3.289312,488,1.127991,1.852047,0.609051
3,7,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_7s.wav,pair_3_comp_250s.wav,1.362410,1.018816,1.151749,5.862663,54.439030,2.744459,3.233693,477,1.121782,1.794773,0.625027
3,7,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_7s.wav,pair_3_comp_254s.wav,1.375688,1.030989,1.166233,6.137170,55.012596,2.726374,3.348408,480,1.192489,1.767812,0.674557
3,7,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_7s.wav,pair_3_comp_259s.wav,1.468036,1.083768,1.214866,6.150575,58.391747,2.958449,3.580133,500,1.204195,1.773372,0.679042
3,7,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_7s.wav,pair_3_comp_263s.wav,1.411685,1.083368,1.203690,6.087276,56.943283,3.002309,3.501257,495,1.093889,1.671178,0.654562
3,11,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_11s.wav,pair_3_comp_176s.wav,1.305891,1.006844,1.057800,5.645325,52.766888,2.735746,3.310099,447,1.005144,1.536466,0.654192
3,11,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_11s.wav,pair_3_comp_179s.wav,1.349290,1.027720,1.136597,5.242959,54.275539,2.815330,3.331782,466,1.051124,1.617956,0.649662
3,11,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_11s.wav,pair_3_comp_183s.wav,1.336199,1.000649,1.116323,5.182613,53.419167,2.754466,3.334053,467,1.053675,1.521331,0.692600
3,11,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_11s.wav,pair_3_comp_188s.wav,1.346525,1.007742,1.116051,5.021602,53.819725,2.853182,3.287417,465,1.068967,1.557455,0.686355
3,11,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_11s.wav,pair_3_comp_234s.wav,1.432669,1.045286,1.243526,5.906076,56.750751,2.914949,3.402481,511,1.236803,1.890745,0.654135
3,11,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_11s.wav,pair_3_comp_238s.wav,1.418254,1.040216,1.241258,5.516879,56.282669,2.869959,3.432083,510,1.210422,1.914634,0.632195
3,11,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_11s.wav,pair_3_comp_242s.wav,1.416611,1.063998,1.228252,5.797835,56.694035,2.880007,3.481590,504,1.195251,1.815831,0.658239
3,11,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_11s.wav,pair_3_comp_246s.wav,1.432438,1.073648,1.237648,5.670259,57.284462,2.914581,3.493102,506,1.200189,1.929497,0.622021
3,11,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_11s.wav,pair_3_comp_250s.wav,1.411381,1.052666,1.248525,5.573225,56.342751,2.816276,3.380435,513,1.152357,1.852235,0.622144
3,11,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_11s.wav,pair_3_comp_254s.wav,1.421906,1.074941,1.214046,6.036473,57.040073,2.922219,3.485111,497,1.194617,1.800265,0.663579
3,11,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_11s.wav,pair_3_comp_259s.wav,1.526147,1.096141,1.344207,5.700123,60.128094,3.029056,3.678669,553,1.191803,1.836337,0.649011
3,11,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_11s.wav,pair_3_comp_263s.wav,1.509584,1.166961,1.230845,6.197523,61.057507,3.132570,3.777613,506,1.219444,1.857713,0.656422
3,15,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_15s.wav,pair_3_comp_176s.wav,1.296344,0.980171,1.099133,4.422954,52.006069,2.719369,3.214648,465,1.145770,1.464870,0.782165
3,15,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_15s.wav,pair_3_comp_179s.wav,1.329830,0.970303,1.125657,4.763240,52.678017,2.756274,3.191800,466,1.196430,1.448881,0.825761
3,15,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_15s.wav,pair_3_comp_183s.wav,1.300781,0.945612,1.139050,4.882162,51.461468,2.645122,3.137071,460,1.201820,1.387398,0.866240
3,15,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_15s.wav,pair_3_comp_188s.wav,1.352043,0.990998,1.137629,5.095429,53.642704,2.769377,3.259787,465,1.222715,1.459412,0.837814
3,15,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_15s.wav,pair_3_comp_234s.wav,1.408944,1.027596,1.199092,5.428575,55.803768,2.787342,3.438733,490,1.439158,1.700685,0.846223
3,15,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_15s.wav,pair_3_comp_238s.wav,1.414264,1.046517,1.185675,5.421511,56.299461,2.855681,3.421639,489,1.440650,1.754861,0.820948
3,15,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_15s.wav,pair_3_comp_242s.wav,1.404634,1.031820,1.196068,5.301169,55.772331,2.824107,3.546153,488,1.416540,1.723790,0.821759
3,15,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_15s.wav,pair_3_comp_246s.wav,1.413433,1.044713,1.197186,4.867788,56.243744,2.880497,3.575017,490,1.415716,1.808877,0.782649
3,15,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_15s.wav,pair_3_comp_250s.wav,1.353182,1.020019,1.112619,5.205968,54.225971,2.805119,3.376499,465,1.352214,1.600691,0.844769
3,15,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_15s.wav,pair_3_comp_254s.wav,1.385345,1.026071,1.194686,5.151161,55.166409,2.811646,3.433948,487,1.403602,1.559171,0.900223
3,15,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_15s.wav,pair_3_comp_259s.wav,1.488917,1.097341,1.310792,5.800065,59.187302,3.017564,3.520434,536,1.413835,1.697968,0.832663
3,15,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_15s.wav,pair_3_comp_263s.wav,1.505989,1.155706,1.287878,7.274282,60.746571,3.108806,3.754034,532,1.473169,1.821524,0.808757
3,20,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_20s.wav,pair_3_comp_176s.wav,1.311477,0.994838,1.126686,5.593715,52.675503,2.744994,3.299944,460,1.186204,1.359964,0.872232
3,20,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_20s.wav,pair_3_comp_179s.wav,1.334294,1.012552,1.125807,5.488679,53.599796,2.770020,3.464565,466,1.228938,1.339843,0.917225
3,20,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_20s.wav,pair_3_comp_183s.wav,1.317849,0.977901,1.104923,5.329234,52.513321,2.716242,3.269448,459,1.200325,1.314839,0.912907
3,20,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_20s.wav,pair_3_comp_188s.wav,1.370682,1.019146,1.146829,4.906477,54.657536,2.899755,3.362437,472,1.214129,1.406793,0.863047
3,20,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_20s.wav,pair_3_comp_234s.wav,1.337543,0.990102,1.170895,5.320207,53.252098,2.767301,3.256598,479,1.328794,1.511070,0.879373
3,20,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_20s.wav,pair_3_comp_238s.wav,1.354010,1.019094,1.182516,5.301581,54.229340,2.768759,3.404765,477,1.353878,1.579150,0.857346
3,20,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_20s.wav,pair_3_comp_242s.wav,1.339759,0.998913,1.150685,5.699510,53.477154,2.713606,3.406206,470,1.352563,1.507510,0.897217
3,20,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_20s.wav,pair_3_comp_246s.wav,1.350884,1.016337,1.129317,5.296507,54.096355,2.789662,3.416667,467,1.337954,1.604164,0.834050
3,20,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_20s.wav,pair_3_comp_250s.wav,1.328013,0.996150,1.122384,5.538116,53.123211,2.719907,3.291848,450,1.306800,1.435170,0.910554
3,20,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_20s.wav,pair_3_comp_254s.wav,1.354902,1.013595,1.136240,5.368695,54.146549,2.851897,3.376682,472,1.345927,1.425684,0.944057
3,20,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_20s.wav,pair_3_comp_259s.wav,1.437297,1.075824,1.190940,5.509182,57.450638,3.014000,3.514567,486,1.349427,1.553111,0.868854
3,20,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_20s.wav,pair_3_comp_263s.wav,1.477872,1.120661,1.228316,6.556738,59.351055,3.003014,3.585912,507,1.492971,1.659963,0.899400
3,25,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_25s.wav,pair_3_comp_176s.wav,1.342106,0.991244,1.149400,5.561331,53.391258,2.708960,3.265574,474,1.172856,1.400550,0.837425
3,25,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_25s.wav,pair_3_comp_179s.wav,1.362374,1.011816,1.166924,5.643521,54.304253,2.690855,3.247846,488,1.206357,1.378588,0.875067
3,25,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_25s.wav,pair_3_comp_183s.wav,1.318452,0.980972,1.147864,5.335941,52.587429,2.617436,3.195585,465,1.181806,1.312817,0.900206
3,25,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_25s.wav,pair_3_comp_188s.wav,1.342654,1.003274,1.166869,5.021372,53.634892,2.696801,3.284335,489,1.137062,1.366330,0.832202
3,25,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_25s.wav,pair_3_comp_234s.wav,1.328428,0.990846,1.151887,5.447756,53.032188,2.771690,3.307810,464,1.200413,1.540338,0.779318
3,25,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_25s.wav,pair_3_comp_238s.wav,1.352208,1.018266,1.153317,5.523553,54.167328,2.803526,3.386262,480,1.203976,1.613707,0.746093
3,25,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_25s.wav,pair_3_comp_242s.wav,1.320570,0.998165,1.133363,5.446652,52.971718,2.763779,3.393209,460,1.151321,1.545631,0.744887
3,25,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_25s.wav,pair_3_comp_246s.wav,1.330330,1.009157,1.137791,5.644938,53.433067,2.779431,3.368176,467,1.134434,1.654018,0.685865
3,25,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_25s.wav,pair_3_comp_250s.wav,1.322302,0.992222,1.136125,5.342137,52.901592,2.727930,3.278400,475,1.140272,1.495812,0.762309
3,25,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_25s.wav,pair_3_comp_254s.wav,1.335898,0.983177,1.150742,5.645655,53.078167,2.728154,3.231367,479,1.162132,1.451534,0.800623
3,25,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_25s.wav,pair_3_comp_259s.wav,1.402944,1.029318,1.171178,5.537521,55.681347,2.858829,3.339871,481,1.163019,1.571638,0.740004
3,25,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_25s.wav,pair_3_comp_263s.wav,1.368806,1.019470,1.208686,6.084814,54.615582,2.775373,3.210588,495,1.267826,1.518618,0.834855
3,29,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_29s.wav,pair_3_comp_176s.wav,1.339885,0.992614,1.162435,5.717408,53.360188,2.753521,3.240883,471,1.119893,1.395129,0.802717
3,29,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_29s.wav,pair_3_comp_179s.wav,1.379805,1.030247,1.188042,5.962092,55.103886,2.791550,3.361339,492,1.155072,1.422813,0.811823
3,29,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_29s.wav,pair_3_comp_183s.wav,1.332723,0.997299,1.112347,5.654512,53.265896,2.695231,3.198951,469,1.132547,1.337676,0.846652
3,29,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_29s.wav,pair_3_comp_188s.wav,1.366598,1.020536,1.167349,5.192472,54.579319,2.750303,3.357604,483,1.109041,1.362045,0.814247
3,29,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_29s.wav,pair_3_comp_234s.wav,1.337389,1.000421,1.107273,5.227497,53.445293,2.737746,3.318891,450,1.185441,1.531197,0.774193
3,29,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_29s.wav,pair_3_comp_238s.wav,1.362213,1.030677,1.120882,5.509634,54.662128,2.787397,3.475999,464,1.192637,1.590011,0.750081
3,29,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_29s.wav,pair_3_comp_242s.wav,1.327893,1.001704,1.110968,5.404298,53.226982,2.784731,3.344529,450,1.136787,1.510174,0.752752
3,29,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_29s.wav,pair_3_comp_246s.wav,1.339315,1.014410,1.134976,5.531813,53.763725,2.833053,3.393008,464,1.115165,1.636134,0.681586
3,29,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_29s.wav,pair_3_comp_250s.wav,1.323218,1.006426,1.103912,5.229012,53.198959,2.755261,3.245499,451,1.095442,1.469325,0.745541
3,29,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_29s.wav,pair_3_comp_254s.wav,1.333530,1.000661,1.113991,5.532530,53.351063,2.705828,3.205076,466,1.142066,1.430129,0.798575
3,29,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_29s.wav,pair_3_comp_259s.wav,1.380941,1.038337,1.227942,5.552839,55.288208,2.758802,3.253947,505,1.125136,1.522318,0.739094
3,29,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_29s.wav,pair_3_comp_263s.wav,1.336102,0.984020,1.138200,5.922662,53.099422,2.710051,3.180408,472,1.180215,1.470912,0.802369
3,34,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_34s.wav,pair_3_comp_176s.wav,1.307996,0.976304,1.139212,6.093246,52.229881,2.666875,3.163513,465,1.168199,1.363644,0.856674
3,34,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_34s.wav,pair_3_comp_179s.wav,1.347265,0.992202,1.153767,6.337929,53.542305,2.733570,3.341113,474,1.200193,1.356335,0.884880
3,34,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_34s.wav,pair_3_comp_183s.wav,1.302047,0.959985,1.128195,6.030350,51.765854,2.639032,3.143378,465,1.156066,1.298286,0.890455
3,34,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_34s.wav,pair_3_comp_188s.wav,1.329975,0.980015,1.156028,5.542182,52.865543,2.780771,3.175423,462,1.130700,1.330538,0.849806
3,34,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_34s.wav,pair_3_comp_234s.wav,1.291984,0.968650,1.099777,5.701126,51.672855,2.667443,3.116446,451,1.198324,1.436312,0.834306
3,34,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_34s.wav,pair_3_comp_238s.wav,1.313463,0.989696,1.105655,5.616621,52.626968,2.742972,3.165581,453,1.207370,1.477373,0.817241
3,34,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_34s.wav,pair_3_comp_242s.wav,1.287939,0.965737,1.074606,5.700023,51.513382,2.698460,3.088524,456,1.188348,1.407101,0.844536
3,34,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_34s.wav,pair_3_comp_246s.wav,1.299222,0.975751,1.109137,5.506268,51.994511,2.714196,3.211474,450,1.147612,1.507673,0.761181
3,34,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_34s.wav,pair_3_comp_250s.wav,1.265191,0.963389,1.061016,5.257240,50.887329,2.634268,3.135905,447,1.157956,1.339013,0.864783
3,34,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_34s.wav,pair_3_comp_254s.wav,1.281605,0.961220,1.109270,5.189570,51.264507,2.621849,3.047235,456,1.194301,1.360765,0.877669
3,34,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_34s.wav,pair_3_comp_259s.wav,1.322742,0.977820,1.121938,5.790892,52.637596,2.661553,3.183213,469,1.143718,1.476136,0.774805
3,34,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_34s.wav,pair_3_comp_263s.wav,1.322350,0.993739,1.111790,5.788142,52.931973,2.675472,3.244110,468,1.227004,1.442471,0.850626
3,38,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_38s.wav,pair_3_comp_176s.wav,1.292581,0.951714,1.115700,5.378603,51.364990,2.674843,3.131814,457,1.104239,1.292238,0.854517
3,38,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_38s.wav,pair_3_comp_179s.wav,1.309593,0.974692,1.135584,5.623287,52.240009,2.661879,3.134400,457,1.140502,1.248652,0.913386
3,38,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_38s.wav,pair_3_comp_183s.wav,1.263501,0.931785,1.069594,5.315708,50.237556,2.554020,2.952833,450,1.111672,1.200070,0.926339
3,38,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_38s.wav,pair_3_comp_188s.wav,1.282265,0.943372,1.110249,4.827540,50.940876,2.600685,3.072366,451,1.092942,1.228226,0.889854
3,38,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_38s.wav,pair_3_comp_234s.wav,1.257099,0.931293,1.090078,5.507043,50.063427,2.531619,3.051241,449,1.144743,1.332305,0.859220
3,38,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_38s.wav,pair_3_comp_238s.wav,1.273919,0.953037,1.092959,5.422538,50.910664,2.664335,3.162047,456,1.150074,1.362239,0.844253
3,38,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_38s.wav,pair_3_comp_242s.wav,1.253649,0.935914,1.084563,5.505940,50.063091,2.626780,3.072357,434,1.141863,1.321059,0.864354
3,38,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_38s.wav,pair_3_comp_246s.wav,1.264293,0.946780,1.104346,5.312184,50.544086,2.632200,3.144389,450,1.110009,1.421913,0.780645
3,38,SMP_plag,SMP_plag,1a. Human Plagiarism (Base),pair_3_ori_38s.wav,pair_3_comp_250s.wav,1.232260,0.907624,1.045501,5.063158,48.974060,2.526045,2.981888,421,1.105537,1.241294,0.890633
