source_key,source_filename,stem_relpath,vocal_ratio,active_ratio,stem_rms_db,n_frames,active_frames,vocal_like_frames,vocal_valid
pair_11_comp_54s,pair_11_comp_54s.wav,pair_11_comp_54s/vocals.wav,0.9395,0.925,-21.12,1000,925,869,True
pair_11_comp_71s,pair_11_comp_71s.wav,pair_11_comp_71s/vocals.wav,0.9868,0.986,-20.3,1000,986,973,True
pair_11_comp_7s,pair_11_comp_7s.wav,pair_11_comp_7s/vocals.wav,0.9345,0.87,-25.23,1000,870,813,True
pair_11_comp_86s,pair_11_comp_86s.wav,pair_11_comp_86s/vocals.wav,0.9947,0.942,-19.37,1000,942,937,True
pair_11_ori_112s,pair_11_ori_112s.wav,pair_11_ori_112s/vocals.wav,0.9054,0.497,-20.55,1000,497,450,True
pair_11_ori_13s,pair_11_ori_13s.wav,pair_11_ori_13s/vocals.wav,0.9084,0.841,-19.83,1000,841,764,True
pair_11_ori_155s,pair_11_ori_155s.wav,pair_11_ori_155s/vocals.wav,0.9686,0.542,-20.38,1000,542,525,True
pair_11_ori_169s,pair_11_ori_169s.wav,pair_11_ori_169s/vocals.wav,0.9704,0.541,-19.67,1000,541,525,True
pair_11_ori_184s,pair_11_ori_184s.wav,pair_11_ori_184s/vocals.wav,0.971,0.552,-21.61,1000,552,536,True
pair_11_ori_198s,pair_11_ori_198s.wav,pair_11_ori_198s/vocals.wav,0.9747,0.513,-23.93,1000,513,500,True
pair_11_ori_212s,pair_11_ori_212s.wav,pair_11_ori_212s/vocals.wav,0.9742,0.698,-23.5,1000,698,680,True
pair_11_ori_226s,pair_11_ori_226s.wav,pair_11_ori_226s/vocals.wav,0.9827,0.808,-24.96,1000,808,794,True
pair_11_ori_27s,pair_11_ori_27s.wav,pair_11_ori_27s/vocals.wav,0.8992,0.645,-21.15,1000,645,580,True
pair_11_ori_41s,pair_11_ori_41s.wav,pair_11_ori_41s/vocals.wav,0.9494,0.869,-20.29,1000,869,825,True
pair_11_ori_55s,pair_11_ori_55s.wav,pair_11_ori_55s/vocals.wav,0.9295,0.539,-21.72,1000,539,501,True
pair_11_ori_70s,pair_11_ori_70s.wav,pair_11_ori_70s/vocals.wav,0.9534,0.537,-20.2,1000,537,512,True
pair_11_ori_84s,pair_11_ori_84s.wav,pair_11_ori_84s/vocals.wav,0.9557,0.7,-20.19,1000,700,669,True
pair_11_ori_98s,pair_11_ori_98s.wav,pair_11_ori_98s/vocals.wav,0.9198,0.91,-18.1,1000,910,837,True
pair_12_comp_130s,pair_12_comp_130s.wav,pair_12_comp_130s/vocals.wav,0.9484,0.91,-20.05,1000,910,863,True
pair_12_comp_136s,pair_12_comp_136s.wav,pair_12_comp_136s/vocals.wav,0.9365,0.834,-20.79,1000,834,781,True
pair_12_comp_142s,pair_12_comp_142s.wav,pair_12_comp_142s/vocals.wav,0.936,0.875,-21.05,1000,875,819,True
pair_12_comp_147s,pair_12_comp_147s.wav,pair_12_comp_147s/vocals.wav,0.923,0.844,-21.37,1000,844,779,True
pair_12_comp_176s,pair_12_comp_176s.wav,pair_12_comp_176s/vocals.wav,0.9759,0.995,-18.29,1000,995,971,True
pair_12_comp_182s,pair_12_comp_182s.wav,pair_12_comp_182s/vocals.wav,0.983,1.0,-19.08,1000,1000,983,True
pair_12_comp_188s,pair_12_comp_188s.wav,pair_12_comp_188s/vocals.wav,0.98,1.0,-20.07,1000,1000,980,True
pair_12_comp_194s,pair_12_comp_194s.wav,pair_12_comp_194s/vocals.wav,0.981,0.999,-19.68,1000,999,980,True
pair_12_comp_200s,pair_12_comp_200s.wav,pair_12_comp_200s/vocals.wav,0.9869,0.996,-18.56,1000,996,983,True
pair_12_comp_206s,pair_12_comp_206s.wav,pair_12_comp_206s/vocals.wav,0.9787,0.941,-18.25,1000,941,921,True
pair_12_comp_212s,pair_12_comp_212s.wav,pair_12_comp_212s/vocals.wav,0.9829,0.8351,-19.0,770,643,632,True
pair_12_comp_218s,pair_12_comp_218s.wav,pair_12_comp_218s/vocals.wav,0.9842,0.6723,-25.09,470,316,311,True
pair_12_comp_24s,pair_12_comp_24s.wav,pair_12_comp_24s/vocals.wav,0.8524,0.813,-20.34,1000,813,693,True
pair_12_comp_30s,pair_12_comp_30s.wav,pair_12_comp_30s/vocals.wav,0.8695,0.835,-20.41,1000,835,726,True
pair_12_comp_71s,pair_12_comp_71s.wav,pair_12_comp_71s/vocals.wav,0.9544,0.9,-19.72,1000,900,859,True
pair_12_comp_77s,pair_12_comp_77s.wav,pair_12_comp_77s/vocals.wav,0.9399,0.749,-20.33,1000,749,704,True
pair_12_comp_83s,pair_12_comp_83s.wav,pair_12_comp_83s/vocals.wav,0.9497,0.855,-19.53,1000,855,812,True
pair_12_comp_89s,pair_12_comp_89s.wav,pair_12_comp_89s/vocals.wav,0.9478,0.823,-19.95,1000,823,780,True
pair_12_ori_154s,pair_12_ori_154s.wav,pair_12_ori_154s/vocals.wav,1.0,0.932,-19.97,1000,932,932,True
pair_12_ori_160s,pair_12_ori_160s.wav,pair_12_ori_160s/vocals.wav,0.9989,0.911,-20.13,1000,911,910,True
pair_12_ori_167s,pair_12_ori_167s.wav,pair_12_ori_167s/vocals.wav,0.9978,0.926,-19.81,1000,926,924,True
pair_12_ori_169s,pair_12_ori_169s.wav,pair_12_ori_169s/vocals.wav,0.9978,0.929,-19.49,1000,929,927,True
pair_12_ori_40s,pair_12_ori_40s.wav,pair_12_ori_40s/vocals.wav,0.9973,0.749,-22.35,1000,749,747,True
pair_12_ori_45s,pair_12_ori_45s.wav,pair_12_ori_45s/vocals.wav,0.998,0.497,-24.09,1000,497,496,True
pair_12_ori_90s,pair_12_ori_90s.wav,pair_12_ori_90s/vocals.wav,0.9988,0.803,-21.5,1000,803,802,True
pair_12_ori_97s,pair_12_ori_97s.wav,pair_12_ori_97s/vocals.wav,0.998,0.503,-24.1,1000,503,502,True
pair_13_comp_110s,pair_13_comp_110s.wav,pair_13_comp_110s/vocals.wav,0.9771,0.916,-17.23,1000,916,895,True
pair_13_comp_138s,pair_13_comp_138s.wav,pair_13_comp_138s/vocals.wav,0.9713,0.975,-16.87,1000,975,947,True
pair_13_comp_152s,pair_13_comp_152s.wav,pair_13_comp_152s/vocals.wav,0.964,0.583,-19.25,1000,583,562,True
pair_13_comp_31s,pair_13_comp_31s.wav,pair_13_comp_31s/vocals.wav,0.9799,0.997,-16.45,1000,997,977,True
pair_13_comp_44s,pair_13_comp_44s.wav,pair_13_comp_44s/vocals.wav,0.9937,0.638,-18.42,1000,638,634,True
pair_13_comp_97s,pair_13_comp_97s.wav,pair_13_comp_97s/vocals.wav,0.9779,0.996,-16.49,1000,996,974,True
pair_13_ori_107s,pair_13_ori_107s.wav,pair_13_ori_107s/vocals.wav,0.9928,0.694,-20.79,1000,694,689,True
pair_13_ori_140s,pair_13_ori_140s.wav,pair_13_ori_140s/vocals.wav,1.0,0.727,-21.07,1000,727,727,True
pair_13_ori_26s,pair_13_ori_26s.wav,pair_13_ori_26s/vocals.wav,0.9502,0.723,-20.48,1000,723,687,True
pair_13_ori_42s,pair_13_ori_42s.wav,pair_13_ori_42s/vocals.wav,0.9184,0.723,-19.89,1000,723,664,True
pair_13_ori_59s,pair_13_ori_59s.wav,pair_13_ori_59s/vocals.wav,0.9609,0.665,-20.31,1000,665,639,True
pair_13_ori_91s,pair_13_ori_91s.wav,pair_13_ori_91s/vocals.wav,0.9241,0.751,-21.31,1000,751,694,True
pair_14_comp_0s,pair_14_comp_0s.wav,pair_14_comp_0s/vocals.wav,0.0,0.0,-75.76,1000,0,0,False
pair_14_comp_162s,pair_14_comp_162s.wav,pair_14_comp_162s/vocals.wav,0.9622,0.661,-26.89,1000,661,636,True
pair_14_comp_170s,pair_14_comp_170s.wav,pair_14_comp_170s/vocals.wav,0.9831,0.827,-23.87,1000,827,813,True
pair_14_comp_36s,pair_14_comp_36s.wav,pair_14_comp_36s/vocals.wav,0.9171,0.422,-35.68,1000,422,387,True
pair_14_comp_45s,pair_14_comp_45s.wav,pair_14_comp_45s/vocals.wav,0.9397,0.481,-32.65,1000,481,452,True
pair_14_comp_53s,pair_14_comp_53s.wav,pair_14_comp_53s/vocals.wav,0.9415,0.53,-31.1,1000,530,499,True
pair_14_comp_68s,pair_14_comp_68s.wav,pair_14_comp_68s/vocals.wav,0.9701,0.67,-27.19,1000,670,650,True
pair_14_comp_76s,pair_14_comp_76s.wav,pair_14_comp_76s/vocals.wav,0.988,0.83,-23.89,1000,830,820,True
pair_14_comp_8s,pair_14_comp_8s.wav,pair_14_comp_8s/vocals.wav,0.0,0.0,-64.12,1000,0,0,False
pair_14_ori_0s,pair_14_ori_0s.wav,pair_14_ori_0s/vocals.wav,0.0,0.0,-76.28,1000,0,0,False
pair_14_ori_144s,pair_14_ori_144s.wav,pair_14_ori_144s/vocals.wav,0.9547,0.64,-20.34,1000,640,611,True
pair_14_ori_151s,pair_14_ori_151s.wav,pair_14_ori_151s/vocals.wav,0.9587,0.774,-18.15,1000,774,742,True
pair_14_ori_159s,pair_14_ori_159s.wav,pair_14_ori_159s/vocals.wav,0.962,0.763,-17.99,1000,763,734,True
pair_14_ori_175s,pair_14_ori_175s.wav,pair_14_ori_175s/vocals.wav,0.9812,0.693,-18.88,1000,693,680,True
pair_14_ori_182s,pair_14_ori_182s.wav,pair_14_ori_182s/vocals.wav,0.9669,0.816,-17.31,1000,816,789,True
pair_14_ori_190s,pair_14_ori_190s.wav,pair_14_ori_190s/vocals.wav,0.9479,0.73,-16.67,1000,730,692,True
pair_14_ori_206s,pair_14_ori_206s.wav,pair_14_ori_206s/vocals.wav,0.9723,0.903,-16.33,1000,903,878,True
pair_14_ori_214s,pair_14_ori_214s.wav,pair_14_ori_214s/vocals.wav,0.9866,0.971,-15.91,1000,971,958,True
pair_14_ori_24s,pair_14_ori_24s.wav,pair_14_ori_24s/vocals.wav,0.952,0.687,-20.16,1000,687,654,True
pair_14_ori_32s,pair_14_ori_32s.wav,pair_14_ori_32s/vocals.wav,0.9683,0.756,-19.85,1000,756,732,True
pair_14_ori_39s,pair_14_ori_39s.wav,pair_14_ori_39s/vocals.wav,0.9206,0.693,-20.15,1000,693,638,True
pair_14_ori_55s,pair_14_ori_55s.wav,pair_14_ori_55s/vocals.wav,0.9539,0.716,-19.68,1000,716,683,True
pair_14_ori_62s,pair_14_ori_62s.wav,pair_14_ori_62s/vocals.wav,0.9517,0.848,-18.44,1000,848,807,True
pair_14_ori_70s,pair_14_ori_70s.wav,pair_14_ori_70s/vocals.wav,0.9372,0.748,-17.92,1000,748,701,True
pair_14_ori_85s,pair_14_ori_85s.wav,pair_14_ori_85s/vocals.wav,0.9614,0.856,-16.58,1000,856,823,True
pair_14_ori_93s,pair_14_ori_93s.wav,pair_14_ori_93s/vocals.wav,0.9695,0.919,-15.65,1000,919,891,True
pair_15_comp_132s,pair_15_comp_132s.wav,pair_15_comp_132s/vocals.wav,0.9447,0.922,-24.58,1000,922,871,True
pair_15_comp_142s,pair_15_comp_142s.wav,pair_15_comp_142s/vocals.wav,0.9666,0.898,-24.47,1000,898,868,True
pair_15_comp_151s,pair_15_comp_151s.wav,pair_15_comp_151s/vocals.wav,0.9723,0.902,-24.59,1000,902,877,True
pair_15_comp_161s,pair_15_comp_161s.wav,pair_15_comp_161s/vocals.wav,0.9524,0.883,-25.23,1000,883,841,True
pair_15_comp_175s,pair_15_comp_175s.wav,pair_15_comp_175s/vocals.wav,0.9498,0.937,-24.76,1000,937,890,True
pair_15_comp_185s,pair_15_comp_185s.wav,pair_15_comp_185s/vocals.wav,0.9702,0.907,-24.79,1000,907,880,True
pair_15_comp_195s,pair_15_comp_195s.wav,pair_15_comp_195s/vocals.wav,0.9702,0.906,-25.36,1000,906,879,True
pair_15_comp_204s,pair_15_comp_204s.wav,pair_15_comp_204s/vocals.wav,0.9447,0.868,-25.81,1000,868,820,True
pair_15_comp_65s,pair_15_comp_65s.wav,pair_15_comp_65s/vocals.wav,0.9358,0.904,-24.66,1000,904,846,True
pair_15_comp_75s,pair_15_comp_75s.wav,pair_15_comp_75s/vocals.wav,0.9592,0.883,-24.78,1000,883,847,True
pair_15_comp_84s,pair_15_comp_84s.wav,pair_15_comp_84s/vocals.wav,0.9703,0.908,-24.76,1000,908,881,True
pair_15_comp_94s,pair_15_comp_94s.wav,pair_15_comp_94s/vocals.wav,0.9628,0.565,-27.66,1000,565,544,True
pair_15_ori_127s,pair_15_ori_127s.wav,pair_15_ori_127s/vocals.wav,0.9025,0.954,-18.51,1000,954,861,True
pair_15_ori_135s,pair_15_ori_135s.wav,pair_15_ori_135s/vocals.wav,0.9583,0.96,-17.88,1000,960,920,True
pair_15_ori_144s,pair_15_ori_144s.wav,pair_15_ori_144s/vocals.wav,0.956,1.0,-17.32,1000,1000,956,True
pair_15_ori_152s,pair_15_ori_152s.wav,pair_15_ori_152s/vocals.wav,0.9548,0.974,-20.89,1000,974,930,True
pair_15_ori_182s,pair_15_ori_182s.wav,pair_15_ori_182s/vocals.wav,0.9247,0.93,-18.29,1000,930,860,True
pair_15_ori_190s,pair_15_ori_190s.wav,pair_15_ori_190s/vocals.wav,0.9645,0.985,-17.54,1000,985,950,True
pair_15_ori_198s,pair_15_ori_198s.wav,pair_15_ori_198s/vocals.wav,0.9569,0.974,-17.54,1000,974,932,True
pair_15_ori_207s,pair_15_ori_207s.wav,pair_15_ori_207s/vocals.wav,0.9275,0.69,-21.61,1000,690,640,True
pair_15_ori_51s,pair_15_ori_51s.wav,pair_15_ori_51s/vocals.wav,0.9121,0.876,-19.35,1000,876,799,True
pair_15_ori_59s,pair_15_ori_59s.wav,pair_15_ori_59s/vocals.wav,0.96,0.901,-19.08,1000,901,865,True
pair_15_ori_68s,pair_15_ori_68s.wav,pair_15_ori_68s/vocals.wav,0.9459,0.851,-19.27,1000,851,805,True
pair_15_ori_76s,pair_15_ori_76s.wav,pair_15_ori_76s/vocals.wav,0.8961,0.558,-22.63,1000,558,500,True
pair_16_comp_0s,pair_16_comp_0s.wav,pair_16_comp_0s/vocals.wav,0.9323,0.399,-24.56,1000,399,372,True
pair_16_comp_108s,pair_16_comp_108s.wav,pair_16_comp_108s/vocals.wav,0.9551,0.757,-21.19,1000,757,723,True
pair_16_comp_116s,pair_16_comp_116s.wav,pair_16_comp_116s/vocals.wav,0.9626,0.855,-20.94,1000,855,823,True
pair_16_comp_125s,pair_16_comp_125s.wav,pair_16_comp_125s/vocals.wav,0.9464,0.989,-19.55,1000,989,936,True
pair_16_comp_133s,pair_16_comp_133s.wav,pair_16_comp_133s/vocals.wav,0.9421,0.984,-18.77,1000,984,927,True
pair_16_comp_142s,pair_16_comp_142s.wav,pair_16_comp_142s/vocals.wav,0.9279,0.985,-19.62,1000,985,914,True
pair_16_comp_160s,pair_16_comp_160s.wav,pair_16_comp_160s/vocals.wav,0.979,1.0,-15.65,1000,1000,979,True
pair_16_comp_175s,pair_16_comp_175s.wav,pair_16_comp_175s/vocals.wav,0.968,0.344,-20.99,1000,344,333,True
pair_16_comp_18s,pair_16_comp_18s.wav,pair_16_comp_18s/vocals.wav,0.9526,0.886,-21.41,1000,886,844,True
pair_16_comp_192s,pair_16_comp_192s.wav,pair_16_comp_192s/vocals.wav,0.9278,0.914,-19.65,1000,914,848,True
pair_16_comp_230s,pair_16_comp_230s.wav,pair_16_comp_230s/vocals.wav,1.0,0.1599,-19.59,957,153,153,True
pair_16_comp_27s,pair_16_comp_27s.wav,pair_16_comp_27s/vocals.wav,0.9432,0.774,-20.7,1000,774,730,True
pair_16_comp_35s,pair_16_comp_35s.wav,pair_16_comp_35s/vocals.wav,0.9567,0.854,-20.12,1000,854,817,True
pair_16_comp_44s,pair_16_comp_44s.wav,pair_16_comp_44s/vocals.wav,0.9388,0.981,-18.97,1000,981,921,True
pair_16_comp_53s,pair_16_comp_53s.wav,pair_16_comp_53s/vocals.wav,0.9424,0.973,-18.81,1000,973,917,True
pair_16_comp_62s,pair_16_comp_62s.wav,pair_16_comp_62s/vocals.wav,0.9496,0.973,-19.47,1000,973,924,True
pair_16_comp_79s,pair_16_comp_79s.wav,pair_16_comp_79s/vocals.wav,0.9726,0.985,-15.96,1000,985,958,True
pair_16_comp_99s,pair_16_comp_99s.wav,pair_16_comp_99s/vocals.wav,0.9407,0.472,-23.69,1000,472,444,True
pair_16_comp_9s,pair_16_comp_9s.wav,pair_16_comp_9s/vocals.wav,0.9503,0.845,-21.41,1000,845,803,True
pair_16_ori_0s,pair_16_ori_0s.wav,pair_16_ori_0s/vocals.wav,0.9679,0.405,-21.63,1000,405,392,True
pair_16_ori_109s,pair_16_ori_109s.wav,pair_16_ori_109s/vocals.wav,0.9539,0.434,-21.81,1000,434,414,True
pair_16_ori_10s,pair_16_ori_10s.wav,pair_16_ori_10s/vocals.wav,0.9817,0.874,-18.32,1000,874,858,True
pair_16_ori_119s,pair_16_ori_119s.wav,pair_16_ori_119s/vocals.wav,0.9744,0.819,-18.97,1000,819,798,True
pair_16_ori_129s,pair_16_ori_129s.wav,pair_16_ori_129s/vocals.wav,0.9794,0.875,-18.16,1000,875,857,True
pair_16_ori_139s,pair_16_ori_139s.wav,pair_16_ori_139s/vocals.wav,0.9688,0.96,-18.23,1000,960,930,True
pair_16_ori_149s,pair_16_ori_149s.wav,pair_16_ori_149s/vocals.wav,0.9717,0.991,-18.64,1000,991,963,True
pair_16_ori_159s,pair_16_ori_159s.wav,pair_16_ori_159s/vocals.wav,0.978,1.0,-17.84,1000,1000,978,True
pair_16_ori_169s,pair_16_ori_169s.wav,pair_16_ori_169s/vocals.wav,0.9969,0.973,-16.74,1000,973,970,True
pair_16_ori_179s,pair_16_ori_179s.wav,pair_16_ori_179s/vocals.wav,0.9846,0.973,-16.7,1000,973,958,True
pair_16_ori_188s,pair_16_ori_188s.wav,pair_16_ori_188s/vocals.wav,0.9836,0.912,-18.56,1000,912,897,True
pair_16_ori_20s,pair_16_ori_20s.wav,pair_16_ori_20s/vocals.wav,0.982,0.889,-18.13,1000,889,873,True
pair_16_ori_216s,pair_16_ori_216s.wav,pair_16_ori_216s/vocals.wav,0.9784,0.97,-16.86,1000,970,949,True
pair_16_ori_225s,pair_16_ori_225s.wav,pair_16_ori_225s/vocals.wav,0.9818,0.987,-16.52,1000,987,969,True
pair_16_ori_235s,pair_16_ori_235s.wav,pair_16_ori_235s/vocals.wav,0.9819,0.997,-16.49,1000,997,979,True
pair_16_ori_245s,pair_16_ori_245s.wav,pair_16_ori_245s/vocals.wav,0.9723,0.541,-19.57,1000,541,526,True
pair_16_ori_30s,pair_16_ori_30s.wav,pair_16_ori_30s/vocals.wav,0.9847,0.847,-18.52,1000,847,834,True
pair_16_ori_40s,pair_16_ori_40s.wav,pair_16_ori_40s/vocals.wav,0.9908,0.871,-18.21,1000,871,863,True
pair_16_ori_50s,pair_16_ori_50s.wav,pair_16_ori_50s/vocals.wav,0.9859,0.919,-17.75,1000,919,906,True
pair_16_ori_60s,pair_16_ori_60s.wav,pair_16_ori_60s/vocals.wav,0.9781,0.96,-18.01,1000,960,939,True
pair_16_ori_70s,pair_16_ori_70s.wav,pair_16_ori_70s/vocals.wav,0.9763,0.972,-17.21,1000,972,949,True
pair_16_ori_79s,pair_16_ori_79s.wav,pair_16_ori_79s/vocals.wav,0.9812,0.956,-17.07,1000,956,938,True
pair_16_ori_89s,pair_16_ori_89s.wav,pair_16_ori_89s/vocals.wav,0.9795,0.925,-18.31,1000,925,906,True
pair_16_ori_99s,pair_16_ori_99s.wav,pair_16_ori_99s/vocals.wav,0.9733,0.487,-21.43,1000,487,474,True
pair_17_comp_117s,pair_17_comp_117s.wav,pair_17_comp_117s/vocals.wav,0.9729,0.998,-15.39,1000,998,971,True
pair_17_comp_125s,pair_17_comp_125s.wav,pair_17_comp_125s/vocals.wav,0.982,0.998,-15.35,1000,998,980,True
pair_17_comp_133s,pair_17_comp_133s.wav,pair_17_comp_133s/vocals.wav,0.9582,0.98,-16.29,1000,980,939,True
pair_17_comp_141s,pair_17_comp_141s.wav,pair_17_comp_141s/vocals.wav,0.9558,0.972,-17.58,1000,972,929,True
pair_17_comp_167s,pair_17_comp_167s.wav,pair_17_comp_167s/vocals.wav,0.997,0.984,-20.6,1000,984,981,True
pair_17_comp_175s,pair_17_comp_175s.wav,pair_17_comp_175s/vocals.wav,1.0,0.981,-20.15,1000,981,981,True
pair_17_comp_183s,pair_17_comp_183s.wav,pair_17_comp_183s/vocals.wav,0.966,0.999,-18.24,1000,999,965,True
pair_17_comp_191s,pair_17_comp_191s.wav,pair_17_comp_191s/vocals.wav,0.956,1.0,-16.56,1000,1000,956,True
pair_17_comp_199s,pair_17_comp_199s.wav,pair_17_comp_199s/vocals.wav,0.954,0.999,-15.98,1000,999,953,True
pair_17_comp_207s,pair_17_comp_207s.wav,pair_17_comp_207s/vocals.wav,0.9749,0.998,-15.57,1000,998,973,True
pair_17_comp_215s,pair_17_comp_215s.wav,pair_17_comp_215s/vocals.wav,0.9848,0.853,-16.35,1000,853,840,True
pair_17_comp_223s,pair_17_comp_223s.wav,pair_17_comp_223s/vocals.wav,0.9889,0.4788,-19.75,942,451,446,True
pair_17_comp_51s,pair_17_comp_51s.wav,pair_17_comp_51s/vocals.wav,0.972,0.999,-15.44,1000,999,971,True
pair_17_comp_59s,pair_17_comp_59s.wav,pair_17_comp_59s/vocals.wav,0.982,1.0,-15.37,1000,1000,982,True
pair_17_comp_67s,pair_17_comp_67s.wav,pair_17_comp_67s/vocals.wav,0.9835,0.851,-16.37,1000,851,837,True
pair_17_comp_75s,pair_17_comp_75s.wav,pair_17_comp_75s/vocals.wav,0.9978,0.451,-19.91,1000,451,450,True
pair_17_ori_10s,pair_17_ori_10s.wav,pair_17_ori_10s/vocals.wav,0.0,0.0,-76.91,1000,0,0,False
pair_17_ori_17s,pair_17_ori_17s.wav,pair_17_ori_17s/vocals.wav,0.0,0.0,-75.46,1000,0,0,False
pair_17_ori_25s,pair_17_ori_25s.wav,pair_17_ori_25s/vocals.wav,0.0,0.0,-76.66,1000,0,0,False
pair_17_ori_2s,pair_17_ori_2s.wav,pair_17_ori_2s/vocals.wav,0.0,0.0,-77.3,1000,0,0,False
pair_18_comp_106s,pair_18_comp_106s.wav,pair_18_comp_106s/vocals.wav,0.9648,0.853,-20.3,1000,853,823,True
pair_18_comp_113s,pair_18_comp_113s.wav,pair_18_comp_113s/vocals.wav,0.982,0.999,-20.23,1000,999,981,True
pair_18_comp_120s,pair_18_comp_120s.wav,pair_18_comp_120s/vocals.wav,0.989,0.996,-20.48,1000,996,985,True
pair_18_comp_126s,pair_18_comp_126s.wav,pair_18_comp_126s/vocals.wav,0.9827,0.692,-22.55,1000,692,680,True
pair_18_comp_133s,pair_18_comp_133s.wav,pair_18_comp_133s/vocals.wav,0.9729,0.332,-25.25,1000,332,323,True
pair_18_comp_140s,pair_18_comp_140s.wav,pair_18_comp_140s/vocals.wav,0.0,0.0,-70.05,1000,0,0,False
pair_18_comp_153s,pair_18_comp_153s.wav,pair_18_comp_153s/vocals.wav,0.9211,0.266,-23.99,1000,266,245,True
pair_18_comp_160s,pair_18_comp_160s.wav,pair_18_comp_160s/vocals.wav,0.9441,0.59,-21.34,1000,590,557,True
pair_18_comp_167s,pair_18_comp_167s.wav,pair_18_comp_167s/vocals.wav,0.9617,0.888,-19.85,1000,888,854,True
pair_18_comp_174s,pair_18_comp_174s.wav,pair_18_comp_174s/vocals.wav,0.9752,0.767,-20.97,1000,767,748,True
pair_18_comp_181s,pair_18_comp_181s.wav,pair_18_comp_181s/vocals.wav,0.9751,0.763,-21.32,1000,763,744,True
pair_18_comp_188s,pair_18_comp_188s.wav,pair_18_comp_188s/vocals.wav,0.978,0.863,-21.13,1000,863,844,True
pair_18_comp_194s,pair_18_comp_194s.wav,pair_18_comp_194s/vocals.wav,0.9836,0.977,-20.92,1000,977,961,True
pair_18_comp_201s,pair_18_comp_201s.wav,pair_18_comp_201s/vocals.wav,0.9838,0.99,-20.89,1000,990,974,True
pair_18_comp_208s,pair_18_comp_208s.wav,pair_18_comp_208s/vocals.wav,0.987,0.924,-20.34,1000,924,912,True
pair_18_comp_215s,pair_18_comp_215s.wav,pair_18_comp_215s/vocals.wav,0.9862,0.944,-19.55,1000,944,931,True
pair_18_comp_222s,pair_18_comp_222s.wav,pair_18_comp_222s/vocals.wav,0.9872,0.627,-21.27,1000,627,619,True
pair_18_comp_227s,pair_18_comp_227s.wav,pair_18_comp_227s/vocals.wav,0.9806,0.412,-23.79,1000,412,404,True
pair_18_comp_228s,pair_18_comp_228s.wav,pair_18_comp_228s/vocals.wav,0.9751,0.362,-24.61,1000,362,353,True
pair_18_comp_235s,pair_18_comp_235s.wav,pair_18_comp_235s/vocals.wav,1.0,0.037,-40.58,1000,37,37,False
pair_18_comp_242s,pair_18_comp_242s.wav,pair_18_comp_242s/vocals.wav,1.0,0.087,-33.88,1000,87,87,True
pair_18_comp_249s,pair_18_comp_249s.wav,pair_18_comp_249s/vocals.wav,1.0,0.1378,-31.54,900,124,124,True
