final_mod_type,negative_tier,count
Negative_musicgen_tempo095,random,1219
Negative_musicgen_tempo105,global_nearest,1219
Negative_musicgen_tempo105,intra_category_nearest,1219
Negative_musicgen_tempo105,random,1219
Negative_musicgen_tempo110,global_nearest,1219
Negative_musicgen_tempo110,intra_category_nearest,1219
Negative_musicgen_tempo110,random,1219
Negative_none_pitchD2,global_nearest,1219
Negative_none_pitchD2,intra_category_nearest,1219
Negative_none_pitchD2,random,1219
Negative_none_pitchD4,global_nearest,1219
Negative_none_pitchD4,intra_category_nearest,1219
Negative_none_pitchD4,random,1219
Negative_none_pitchD4_tempo090,global_nearest,1219
Negative_none_pitchD4_tempo090,intra_category_nearest,1219
Negative_none_pitchD4_tempo090,random,1219
Negative_none_pitchU2,global_nearest,1219
Negative_none_pitchU2,intra_category_nearest,1219
Negative_none_pitchU2,random,1219
Negative_none_pitchU4,global_nearest,1219
Negative_none_pitchU4,intra_category_nearest,1219
Negative_none_pitchU4,random,1219
Negative_none_pitchU4_tempo110,global_nearest,1219
Negative_none_pitchU4_tempo110,intra_category_nearest,1219
Negative_none_pitchU4_tempo110,random,1219
Negative_none_tempo090,global_nearest,1219
Negative_none_tempo090,intra_category_nearest,1219
Negative_none_tempo090,random,1219
Negative_none_tempo095,global_nearest,1219
Negative_none_tempo095,intra_category_nearest,1219
Negative_none_tempo095,random,1219
Negative_none_tempo105,global_nearest,1219
Negative_none_tempo105,intra_category_nearest,1219
Negative_none_tempo105,random,1219
Negative_none_tempo110,global_nearest,1219
Negative_none_tempo110,intra_category_nearest,1219
Negative_none_tempo110,random,1219
Negative_smp_pitchD2,global_nearest,603
Negative_smp_pitchD2,intra_category_nearest,603
Negative_smp_pitchD2,random,603
Negative_smp_pitchD4,global_nearest,603
Negative_smp_pitchD4,intra_category_nearest,603
Negative_smp_pitchD4,random,603
Negative_smp_pitchD4_tempo090,global_nearest,603
Negative_smp_pitchD4_tempo090,intra_category_nearest,603
Negative_smp_pitchD4_tempo090,random,603
Negative_smp_pitchU2,global_nearest,603
Negative_smp_pitchU2,intra_category_nearest,603
Negative_smp_pitchU2,random,603
Negative_smp_pitchU4,global_nearest,603
Negative_smp_pitchU4,intra_category_nearest,603
Negative_smp_pitchU4,random,603
Negative_smp_pitchU4_tempo110,global_nearest,603
Negative_smp_pitchU4_tempo110,intra_category_nearest,603
Negative_smp_pitchU4_tempo110,random,603
Negative_smp_tempo090,global_nearest,603
Negative_smp_tempo090,intra_category_nearest,603
Negative_smp_tempo090,random,603
Negative_smp_tempo095,global_nearest,603
Negative_smp_tempo095,intra_category_nearest,603
Negative_smp_tempo095,random,603
Negative_smp_tempo105,global_nearest,603
Negative_smp_tempo105,intra_category_nearest,603
Negative_smp_tempo105,random,603
Negative_smp_tempo110,global_nearest,603
Negative_smp_tempo110,intra_category_nearest,603
Negative_smp_tempo110,random,603
SMP_plag,N/A,1498
SMP_plag_doubt,N/A,832
SMP_remake,N/A,1427
audioldm2_none,N/A,1219
audioldm2_pitchD2,N/A,1219
audioldm2_pitchD4,N/A,1219
audioldm2_pitchD4_tempo090,N/A,1219
audioldm2_pitchU2,N/A,1219
audioldm2_pitchU4,N/A,1219
audioldm2_pitchU4_tempo110,N/A,1219
audioldm2_tempo090,N/A,1219
audioldm2_tempo095,N/A,1219
audioldm2_tempo105,N/A,1219
audioldm2_tempo110,N/A,1219
mgeldm_bass_none,N/A,1011
mgeldm_bass_pitchD2,N/A,1010
mgeldm_bass_pitchD4,N/A,1011
mgeldm_bass_pitchD4_tempo090,N/A,1010
mgeldm_bass_pitchU2,N/A,1010
mgeldm_bass_pitchU4,N/A,1010
mgeldm_bass_pitchU4_tempo110,N/A,1010
mgeldm_bass_tempo090,N/A,1010
mgeldm_bass_tempo095,N/A,1010
mgeldm_bass_tempo105,N/A,1010
mgeldm_bass_tempo110,N/A,1010
mgeldm_drums_none,N/A,1011
mgeldm_drums_pitchD2,N/A,1011
mgeldm_drums_pitchD4,N/A,1011
mgeldm_drums_pitchD4_tempo090,N/A,1011
mgeldm_drums_pitchU2,N/A,1011
mgeldm_drums_pitchU4,N/A,1011
mgeldm_drums_pitchU4_tempo110,N/A,1011
mgeldm_drums_tempo090,N/A,1011
mgeldm_drums_tempo095,N/A,1011
mgeldm_drums_tempo105,N/A,1011
mgeldm_drums_tempo110,N/A,1011
mgeldm_none,N/A,1
mgeldm_other_none,N/A,1010
mgeldm_other_pitchD2,N/A,1010
mgeldm_other_pitchD4,N/A,1010
mgeldm_other_pitchD4_tempo090,N/A,1010
mgeldm_other_pitchU2,N/A,1010
mgeldm_other_pitchU4,N/A,1010
mgeldm_other_pitchU4_tempo110,N/A,1010
mgeldm_other_tempo090,N/A,1010
mgeldm_other_tempo095,N/A,1010
mgeldm_other_tempo105,N/A,1010
mgeldm_other_tempo110,N/A,1010
mgeldm_pitchD2,N/A,1
mgeldm_pitchD4,N/A,1
mgeldm_pitchD4_tempo090,N/A,1
mgeldm_pitchU2,N/A,1
mgeldm_pitchU4,N/A,1
mgeldm_pitchU4_tempo110,N/A,1
mgeldm_tempo090,N/A,1
mgeldm_tempo095,N/A,1
mgeldm_tempo105,N/A,1
mgeldm_tempo110,N/A,1
mgeldm_vocals,N/A,1
musicgen_none,N/A,1219
musicgen_pitchD2,N/A,1219
musicgen_pitchD4,N/A,1219
musicgen_pitchD4_tempo090,N/A,1219
musicgen_pitchU2,N/A,1219
musicgen_pitchU4,N/A,1219
musicgen_pitchU4_tempo110,N/A,1219
musicgen_tempo090,N/A,1219
musicgen_tempo095,N/A,1219
musicgen_tempo105,N/A,1219
musicgen_tempo110,N/A,1219
none_pitchD2,N/A,1219
none_pitchD4,N/A,1219
none_pitchD4_tempo090,N/A,1219
none_pitchU2,N/A,1219
none_pitchU4,N/A,1219
none_pitchU4_tempo110,N/A,1219
none_tempo090,N/A,1219
none_tempo095,N/A,1219
none_tempo105,N/A,1219
none_tempo110,N/A,1219
smp_pitchD2,N/A,3757
smp_pitchD4,N/A,3757
smp_pitchD4_tempo090,N/A,3757
smp_pitchU2,N/A,3757
smp_pitchU4,N/A,3757
smp_pitchU4_tempo110,N/A,3757
smp_tempo090,N/A,3757
smp_tempo095,N/A,3757
smp_tempo105,N/A,3757
smp_tempo110,N/A,3757
